origin,dest,count,time
1206,1322,1900,2020/1/1
1135,1322,600,2020/1/1
1322,1156,2200,2020/1/1
1322,1206,1400,2020/1/1
1322,1135,2700,2020/1/1
1322,1323,50,2020/1/1
1323,1322,10,2020/1/1
1351,1322,10,2020/1/1
1322,1351,10,2020/1/1
1322,1081,14300,2020/1/1
1081,1322,19400,2020/1/1
1132,1322,100,2020/1/1
1302,1322,300,2020/1/1
1262,1322,5200,2020/1/1
1322,1132,1700,2020/1/1
1322,1302,2700,2020/1/1
1322,1262,2400,2020/1/1
1322,1329,100,2020/1/1
1322,1285,2700,2020/1/1
1322,1311,1900,2020/1/1
1322,1227,700,2020/1/1
1329,1322,10,2020/1/1
1285,1322,100,2020/1/1
1311,1322,400,2020/1/1
1227,1322,100,2020/1/1
1347,1322,10,2020/1/1
1003,1322,1500,2020/1/1
1116,1322,24700,2020/1/1
1322,1003,1700,2020/1/1
1322,1116,7000,2020/1/1
1322,1190,1900,2020/1/1
1322,1268,900,2020/1/1
1190,1322,100,2020/1/1
1268,1322,700,2020/1/1
1074,1322,600,2020/1/1
1322,1074,1400,2020/1/1
1322,1095,19100,2020/1/1
1322,1247,2500,2020/1/1
1095,1322,23500,2020/1/1
1247,1322,500,2020/1/1
1280,1322,100,2020/1/1
1011,1322,30800,2020/1/1
1349,1322,10,2020/1/1
1322,1280,1400,2020/1/1
1322,1011,33900,2020/1/1
1322,1199,400,2020/1/1
1199,1322,50,2020/1/1
1289,1322,100,2020/1/1
1076,1322,3300,2020/1/1
1233,1322,100,2020/1/1
1063,1322,123800,2020/1/1
1322,1289,1400,2020/1/1
1322,1076,5100,2020/1/1
1322,1233,1100,2020/1/1
1322,1063,22000,2020/1/1
1212,1322,19500,2020/1/1
1248,1322,50,2020/1/1
1041,1322,2300,2020/1/1
1148,1322,600,2020/1/1
1202,1322,600,2020/1/1
1322,1212,7800,2020/1/1
1322,1248,200,2020/1/1
1322,1041,7500,2020/1/1
1322,1148,2200,2020/1/1
1322,1202,3700,2020/1/1
1301,1322,4300,2020/1/1
1322,1301,3500,2020/1/1
1322,1042,4500,2020/1/1
1322,1241,13000,2020/1/1
1042,1322,400,2020/1/1
1241,1322,49600,2020/1/1
1103,1322,3400,2020/1/1
1170,1322,900,2020/1/1
1017,1322,3400,2020/1/1
1266,1322,500,2020/1/1
1322,1103,3500,2020/1/1
1322,1170,2500,2020/1/1
1322,1017,5400,2020/1/1
1322,1266,3400,2020/1/1
1322,1322,131100,2020/1/1
1274,1322,10,2020/1/1
1178,1322,500,2020/1/1
1234,1322,2000,2020/1/1
1322,1274,500,2020/1/1
1322,1178,1400,2020/1/1
1322,1234,6200,2020/1/1
1275,1322,700,2020/1/1
1335,1322,50,2020/1/1
1013,1322,3000,2020/1/1
1322,1275,10,2020/1/1
1322,1335,300,2020/1/1
1322,1013,11300,2020/1/1
1264,1322,100,2020/1/1
1177,1322,50,2020/1/1
1115,1322,31300,2020/1/1
1322,1264,1100,2020/1/1
1322,1177,1800,2020/1/1
1322,1115,20800,2020/1/1
1322,1088,27300,2020/1/1
1088,1322,13800,2020/1/1
1026,1322,300,2020/1/1
1317,1322,15100,2020/1/1
1254,1322,7900,2020/1/1
1322,1026,2600,2020/1/1
1322,1317,7400,2020/1/1
1322,1254,5400,2020/1/1
1322,1125,3300,2020/1/1
1125,1322,1400,2020/1/1
1340,1322,10,2020/1/1
1238,1322,28300,2020/1/1
1322,1238,8000,2020/1/1
1211,1322,50,2020/1/1
1067,1322,10,2020/1/1
1322,1211,1200,2020/1/1
1322,1067,200,2020/1/1
1322,1272,6200,2020/1/1
1322,1034,4200,2020/1/1
1272,1322,1400,2020/1/1
1034,1322,6500,2020/1/1
1322,1120,1400,2020/1/1
1120,1322,100,2020/1/1
1251,1322,400,2020/1/1
1257,1322,600,2020/1/1
1080,1322,400,2020/1/1
1065,1322,1900,2020/1/1
1322,1251,1700,2020/1/1
1322,1257,2800,2020/1/1
1322,1080,1300,2020/1/1
1322,1065,3500,2020/1/1
1322,1320,3700,2020/1/1
1320,1322,6200,2020/1/1
1019,1322,8400,2020/1/1
1322,1019,8800,2020/1/1
1164,1322,6400,2020/1/1
1112,1322,10,2020/1/1
1286,1322,3100,2020/1/1
1194,1322,13700,2020/1/1
1322,1164,9200,2020/1/1
1322,1112,10,2020/1/1
1322,1286,2800,2020/1/1
1322,1194,3300,2020/1/1
1322,1140,3100,2020/1/1
1140,1322,1500,2020/1/1
1309,1322,2600,2020/1/1
1319,1322,500,2020/1/1
1322,1309,2400,2020/1/1
1322,1319,2200,2020/1/1
1322,1187,900,2020/1/1
1322,1208,3100,2020/1/1
1322,1338,100,2020/1/1
1187,1322,50,2020/1/1
1208,1322,1600,2020/1/1
1338,1322,10,2020/1/1
1312,1322,50,2020/1/1
1228,1322,100,2020/1/1
1029,1322,3600,2020/1/1
1189,1322,11300,2020/1/1
1304,1322,10500,2020/1/1
1322,1312,1000,2020/1/1
1322,1228,800,2020/1/1
1322,1029,2400,2020/1/1
1322,1189,3300,2020/1/1
1322,1304,4900,2020/1/1
1322,1007,1900,2020/1/1
1007,1322,200,2020/1/1
1281,1322,200,2020/1/1
1093,1322,100,2020/1/1
1040,1322,1300,2020/1/1
1258,1322,200,2020/1/1
1059,1322,100,2020/1/1
1322,1281,2300,2020/1/1
1322,1093,2300,2020/1/1
1322,1040,2700,2020/1/1
1322,1258,2800,2020/1/1
1322,1059,2000,2020/1/1
1322,1048,10,2020/1/1
1293,1322,400,2020/1/1
1038,1322,4400,2020/1/1
1220,1322,3500,2020/1/1
1322,1293,2200,2020/1/1
1322,1038,7100,2020/1/1
1322,1220,5700,2020/1/1
1322,1049,900,2020/1/1
1322,1276,1600,2020/1/1
1049,1322,10,2020/1/1
1276,1322,1800,2020/1/1
1325,1322,10,2020/1/1
1322,1325,200,2020/1/1
1322,1131,5500,2020/1/1
1322,1031,2100,2020/1/1
1322,1075,2500,2020/1/1
1131,1322,3100,2020/1/1
1031,1322,50,2020/1/1
1075,1322,1000,2020/1/1
1253,1322,50,2020/1/1
1322,1253,2200,2020/1/1
1290,1322,50,2020/1/1
1180,1322,100,2020/1/1
1322,1290,1100,2020/1/1
1322,1180,1900,2020/1/1
1322,1137,3300,2020/1/1
1137,1322,1300,2020/1/1
1018,1322,3400,2020/1/1
1086,1322,7300,2020/1/1
1136,1322,1100,2020/1/1
1322,1018,3300,2020/1/1
1322,1086,5900,2020/1/1
1322,1136,3800,2020/1/1
1322,1334,50,2020/1/1
1322,1025,1400,2020/1/1
1334,1322,10,2020/1/1
1025,1322,400,2020/1/1
1102,1322,100,2020/1/1
1030,1322,600,2020/1/1
1231,1322,34200,2020/1/1
1322,1102,3100,2020/1/1
1322,1030,1500,2020/1/1
1322,1231,8100,2020/1/1
1322,1054,1400,2020/1/1
1322,1050,8200,2020/1/1
1054,1322,800,2020/1/1
1050,1322,5600,2020/1/1
1350,1322,10,2020/1/1
1322,1047,400,2020/1/1
1322,1255,1600,2020/1/1
1047,1322,10,2020/1/1
1255,1322,700,2020/1/1
1126,1322,50,2020/1/1
1270,1322,100,2020/1/1
1008,1322,700,2020/1/1
1072,1322,1500,2020/1/1
1318,1322,1400,2020/1/1
1322,1126,10,2020/1/1
1322,1008,1400,2020/1/1
1322,1072,5400,2020/1/1
1322,1318,3400,2020/1/1
1294,1322,200,2020/1/1
1292,1322,4100,2020/1/1
1252,1322,100,2020/1/1
1322,1292,4100,2020/1/1
1322,1252,1700,2020/1/1
1322,1210,10,2020/1/1
1210,1322,500,2020/1/1
1068,1322,2500,2020/1/1
1322,1068,3200,2020/1/1
1322,1328,100,2020/1/1
1328,1322,10,2020/1/1
1236,1322,140800,2020/1/1
1036,1322,1600,2020/1/1
1217,1322,8100,2020/1/1
1322,1236,33200,2020/1/1
1322,1036,4800,2020/1/1
1322,1217,2700,2020/1/1
1322,1337,50,2020/1/1
1322,1339,100,2020/1/1
1079,1322,700,2020/1/1
1087,1322,2400,2020/1/1
1322,1079,700,2020/1/1
1322,1087,4200,2020/1/1
1283,1322,4900,2020/1/1
1322,1283,3500,2020/1/1
1179,1322,500,2020/1/1
1222,1322,100,2020/1/1
1105,1322,1300,2020/1/1
1322,1179,1000,2020/1/1
1322,1222,1600,2020/1/1
1322,1105,4800,2020/1/1
1322,1165,1100,2020/1/1
1165,1322,100,2020/1/1
1250,1322,10,2020/1/1
1037,1322,5900,2020/1/1
1322,1250,300,2020/1/1
1322,1037,4400,2020/1/1
1322,1221,8300,2020/1/1
1221,1322,2900,2020/1/1
1307,1322,15700,2020/1/1
1265,1322,2300,2020/1/1
1113,1322,13100,2020/1/1
1322,1307,4200,2020/1/1
1322,1265,4100,2020/1/1
1322,1113,7700,2020/1/1
1322,1209,300,2020/1/1
1209,1322,10,2020/1/1
1299,1322,200,2020/1/1
1163,1322,1600,2020/1/1
1322,1299,2500,2020/1/1
1322,1163,9200,2020/1/1
1322,1021,4300,2020/1/1
1021,1322,3400,2020/1/1
1117,1322,226800,2020/1/1
1322,1117,9700,2020/1/1
1352,1322,10,2020/1/1
1071,1322,50,2020/1/1
1128,1322,900,2020/1/1
1057,1322,300,2020/1/1
1278,1322,100,2020/1/1
1083,1322,100,2020/1/1
1322,1071,1100,2020/1/1
1322,1128,1500,2020/1/1
1322,1057,3000,2020/1/1
1322,1278,600,2020/1/1
1322,1083,500,2020/1/1
1322,1060,3300,2020/1/1
