id,name,lat,lon
1130,1130,27.70351,106.947736
1131,1131,29.364979,113.122212
1132,1132,39.817904,109.973467
1133,1133,36.682785,117.024967
1134,1134,35.233843,115.479337
1135,1135,39.942531,119.586579
1136,1136,34.798952,114.315698
1137,1137,27.382829,118.081325
1138,1138,24.971685,121.393015
1139,1139,30.508017,105.573324
1140,1140,25.075097,117.01728
1141,1141,41.124667,122.055323
1142,1142,23.020015,113.122545
1143,1143,38.874062,115.464804
1144,1144,32.999082,112.540918
1145,1145,30.762653,120.750865
1146,1146,34.980377,102.912725
1147,1147,46.590734,125.11272
1148,1148,27.627281,113.866262
1149,1149,40.976204,117.939152
1150,1150,38.048958,114.522082
1151,1151,36.612273,114.490686
1152,1152,33.388598,104.929379
1153,1153,23.82505,120.833037
1154,1154,27.8043,114.391137
1155,1155,22.000212,100.798113
1156,1156,30.474126,106.636959
1157,1157,37.735097,115.665993
1158,1158,41.72816,125.940106
1159,1159,37.500585,105.196778
1160,1160,30.89438,120.08712
1161,1161,27.886762,102.258746
1162,1162,22.653889,110.180962
1163,1163,32.149802,114.090824
1164,1164,24.882,102.714601
1165,1165,33.872706,109.918561
1166,1166,33.066664,107.023299
1167,1167,34.856424,117.557964
1168,1168,36.214397,117.677736
1169,1169,35.415393,116.587245
1170,1170,32.625478,116.999933
1171,1171,24.414141,111.552057
1172,1172,28.689578,115.893528
1173,1173,38.290162,109.741193
1174,1174,24.142233,120.671445
1175,1175,26.580446,101.716008
1176,1176,31.866942,117.282699
1177,1177,31.778191,104.739315
1178,1178,30.665118,117.491904
1179,1179,24.436694,98.578363
1180,1180,35.489517,112.852991
1181,1181,39.331261,112.433387
1182,1182,40.123574,124.387851
1183,1183,35.762732,115.029283
1184,1184,34.034977,113.831213
1185,1185,35.599446,103.212006
1186,1186,22.334186,114.182546
1187,1187,36.544646,104.138759
1188,1188,36.640739,101.767921
1189,1189,23.657534,116.62183
1190,1190,32.685171,109.028586
1191,1191,40.743032,107.388978
1192,1192,23.077272,114.399381
1193,1193,32.057236,118.778074
1194,1194,33.963008,118.275162
1195,1195,25.769196,113.016778
1196,1196,47.728066,128.841546
1197,1197,21.857415,111.982697
1198,1198,27.829847,112.944038
1199,1199,50.417337,124.110601
1200,1200,22.573077,114.056593
1201,1201,33.597506,119.021265
1202,1202,40.811901,114.884091
1203,1203,41.808645,123.432791
1204,1204,43.617429,122.263119
1205,1205,41.942505,126.427839
